PRP$	673	0.018103
VBG	23	0.000619
VBD	41	0.001103
VBN	25	0.000672
VBP	125	0.003362
WDT	23	0.000619
JJ	1341	0.036072
WP	265	0.007128
VBZ	45	0.001210
DT	7377	0.198434
PR	1	0.000027
PP	0	0.000000
PUNC	3168	0.085216
NN	1552	0.041747
FW	3	0.000081
POS	0	0.000000
TO	245	0.006590
PRP	6329	0.170244
RB	3778	0.101625
NP	0	0.000000
NNS	308	0.008285
NNP	3387	0.091107
VB	1270	0.034162
WRB	605	0.016274
CC	1521	0.040913
LS	5	0.000134
PDT	22	0.000592
RBS	0	0.000000
RBR	12	0.000323
CD	306	0.008231
EX	592	0.015924
IN	3838	0.103239
WP$	0	0.000000
RP	0	0.000000
NN|SYM	0	0.000000
MD	100	0.002690
NNPS	46	0.001237
JJS	30	0.000807
JJR	7	0.000188
NNP|VBN	0	0.000000
UH	113	0.003040
NNP|NP	0	0.000000
MD|VB	0	0.000000
NPS	0	0.000000
