cowords	actual sense	predicted sense	correct
with_respect_to view two point be worth	2:41:00::	2:36:01::	0
question answer be simple two word utopian communism	2:41:00::	2:36:01::	0
find common way_of_life pleasing christ still in_use true society christian that_is good monastery easy convert utopian christianity	2:30:00::	2:36:08::	0
concern utopia be best ordering civil society again_and_again clear utopian communism provide institutional array indispensable best ordering	2:30:00::	2:36:01::	0
new indeed be person perception not modern know ever try intelligible modern student person get	2:30:00::	2:36:15::	0
be not detail utopian communism utopia modern be spirit attitude mind inform detail	2:30:00::	2:36:01::	0
religious_belief provide plausible explanation many condition cause great concern religious faith possible fortitude equanimity consolation enable endure colossal misfortune fear frustration uncertainty suffering evil danger	2:36:00::	2:32:00::	0
last two century scientific revolution independence physical environment most rapid stride	2:41:00::	2:36:08::	0
most effective political invention seem maximum use natural harbor be aware restrain breakwater play only minor part whole scheme	2:41:00::	2:36:08::	0
often fear persist even most rigid ritual be never quite free uneasy feeling mistake previous execution be unaware really decisive act	2:41:00::	2:42:00::	0
be naive say use such word	2:41:00::	2:38:02::	0
attach little importance personal liberty not known world	2:36:00::	2:36:01::	0
appear be one intense dislike little effort conceal even presence southern friend	2:41:00::	2:42:00::	0
person location sponsor bill say failure enact amount gift taxpayer pocket bank insurance_company pipeline_company	2:30:00::	2:36:01::	0
opponent generally argue ballot n't give enough information tax proposal voter intelligent choice	2:41:00::	2:32:00::	0
other recommendation committee be	2:41:00::	2:36:08::	0
be evident many marked striking difference exist lung interspecies comparison	2:31:00::	2:36:01::	0
improve overall balance control bodybuilder help squat more easily more correctly perform	2:30:00::	2:36:01::	0
have a_couple_of training partner stand_by first experiment just safety	2:41:00::	2:38:02::	0
suggest hold bar back neck reason n't experiment bar hold neck	2:41:00::	2:36:08::	0
lifter leg split lifter benefit enormously practice variation remember alternate set left right leg front	2:41:00::	2:36:08::	0
clear shift act_out change manner killing person	2:30:00::	2:36:01::	0
see handiwork out backyard little tenant tell sound a_little special	2:30:00::	2:31:00::	0
person be a_bit stretch even measurement	2:41:00::	2:36:00::	0
world be full bloke put heart tragic scene	2:36:08::	2:36:01::	0
future immediate future include take upstairs give a_bit space friend work make available fingertip	2:32:00::	2:36:01::	0
future immediate future make include take upstairs give a_bit space friend work available fingertip	2:30:00::	2:36:01::	0
n't see necessary know	2:30:00::	2:31:00::	0
nothing necessary proclaim whole world	2:30:00::	2:36:01::	0
fly place adjustment be obvious do be fruit long experience	2:41:00::	2:42:00::	0
kick about extra_points try three year high_school say 26 one time	2:40:02::	2:36:15::	0
first three game group have ball time score 16 time 40 percent total passing yardage three game 30 completion attempt be only 22 yard short total passing yardage completion try	2:40:02::	2:38:02::	0
person only one second_half appearance season be group game four play return kickoff 30 yard gain five yard line and_then uncork yard touchdown run retire bench	2:41:00::	2:36:15::	0
knock_down interference key stop time	2:41:00::	2:36:00::	0
group comforting break opening kickoff denver person jar loose ball person speedy halfback hit guard person claim dallas	2:36:00::	2:36:01::	0
early group football leader group group group big dent statistic last week	2:36:00::	2:36:01::	0
addition endurance training later body be mature enough benefit danger injury provide final quality top athlete soldier citizen	2:36:00::	2:36:08::	0
dance teacher america business prepare young charge gymnastics come someday school be really responsible be that_much ahead	2:36:08::	2:36:01::	0
arch back upwards bridge	2:36:00::	2:36:00::	1
skeletal age rating age growth elbow shoulder knee foot hand seem be method_of_choice wish study most aspect skeletal developmental progress childhood	2:31:00::	2:36:08::	0
principle use arrow figure 3 4 apply construction figure 5 6 figure appendix	2:36:00::	2:36:08::	0
expedition be order swift survey condition and_then return earth	2:41:00::	2:36:01::	0
reading believe person know situation arise reference provision divorce	2:41:00::	2:36:05::	0
nation give_up claim neither wish move lead second	2:41:00::	2:36:01::	0
time later check automatic equipment crew join	2:41:00::	2:36:08::	0
for_one_thing organ speech native differ somewhat earthman sound organ be therefore dissimilar	2:36:00::	2:36:01::	0
not pretty speech dante actress pay so good	2:36:00::	2:36:01::	0
pact devil be not_yet time pay price	2:41:00::	2:36:01::	0
clapping concrete interrupt ecstatic pleasure know quickly release hold goat pretend examine haunch tick	2:41:00::	2:31:00::	0
last thing resemble war be line farmer storekeeper mechanic perch top stone_wall dashing rider feel good_deal sharp more alert situation	2:30:00::	2:36:01::	0
voice call even more terrible unreal be redcoat rank never pause instant only glance stone_wall voice come	2:30:00::	2:31:00::	0
cluster together redcoat advantage not blessed thing two three chase outrun	2:30:00::	2:36:01::	0
hard surface cleaning household application represent two class alkaline product formulation expressly machine dishwasher general-purpose cleaner use wall woodwork	2:36:01::	2:38:02::	0
soiled fabric use rapid testing detergent formulation such way only part soil remove even best detergent formulation single wash	2:36:01::	2:36:05::	0
greasy soil hardly remove washing plain water natural water in_addition often contain impurity calcium salt react soil more difficult remove	2:30:00::	2:36:08::	0
theory possible event eternity be continuously available moment consciousness	2:30:00::	2:36:01::	0
absence truly adequate conceptuality gospel express unavoidable need demythologize use resource be at_hand usually mean various form folk religion current situation	2:41:00::	2:32:00::	0
yet be exactly risk run assume too often continue preach gospel form seem incredible irrelevant cultured man	2:30:00::	2:32:00::	0
long diverse tradition essentially one be belong_to be profoundly in_earnest be modern man distinctively modern_world	2:30:00::	2:42:00::	0
implication position clear possible develop argument greater length	2:30:00::	2:36:08::	0
like seedbed right open many people start successfully cold_frame	2:36:00::	2:36:08::	0
cold_frame be morale_builder mass bright bloom set border snow spirit rise time look	2:32:00::	2:31:00::	0
treat right showing every_month year frigid	2:41:00::	2:36:08::	0
delightful tropical fruit become well-known past thirty year modern transportation method possible ship avocado anywhere united_states	2:30:00::	2:36:01::	0
have great many asset recommend n't avocado part diet yet really	2:30:00::	2:38:02::	0
